category_name,category_id,id,label,description
Workspace!,work,pods,Pods,
Workspace!,work,meeting-rooms,Meeting Rooms,
Workspace!,work,board-room,Board Room,
Workspace!,work,individual,Individual tables,
Workspace!,work,power-outlets,Power Outlets,
Workspace!,work,wi-fi,Wi-Fi,
Music,music,ambient,Ambient,
Music,music,loud,Loud/Lively,
Music,music,silent,Silent,
Seating,seating,open-air,Open-air Seating,
Seating,seating,terrace,Terrace,
Seating,seating,garden,Garden,
Seating,seating,private-zone,Private Zone,
Seating,seating,reading-corner,Reading Corner,
Social,social,communal-tables,Communal Tables,
Social,social,couches,Couches,
Social,social,board-games,Board Games,
Social,social,events,Host Events,
Lighting,lighting,natural,Natural Light,
Lighting,lighting,dim,Dim,
Lighting,lighting,bright,Bright / Lively,
Lighting,lighting,soft,Soft / Warm,
F&B,food,breakfast,Breakfast Menu,
F&B,food,vegan,Vegan Options,
F&B,food,specialty-coffee,Specialty Coffee,
Accessibility,accessibility,pets,Pet Friendly,
Accessibility,accessibility,elevator,Elevator,
Accessibility,accessibility,wheel-chair,Wheel-chair Access,
Accessibility,accessibility,ground,Ground Floor,
Parking Facility,parking,4W,4W Parking,
Parking Facility,parking,2W,2W Parking,
Parking Facility,parking,valet,Valet,
Parking Facility,parking,street,Street Parking,
Restrooms,restrooms,separate,Separate,
Restrooms,restrooms,common,Common,
Restrooms,restrooms,public,Public,
